SJ_number,Species,sub_species,race,Kris_clade,cluster,my_clades,sample_type,lat,long,location,Drainage,City/road,County,State,temp_number,sample_number,field_number,Date_collected,Date extracted,Cytb_amp,ddRAD,ddRAD plate,filtered_out_95,Collector,University,Qubit_con_1(ng/ml),Fancy_number,Loan_number,strange_topology
SF06,C_venusta,venusta,Western_Gulf,unknown,na,na,tissue,35.74778,-90.6112,Little_Bay_Ditch,St_Francis_River,"Little Bay Ditch at AR Hwy 158, approx. 2.5 miles W of Bay",Craighead,AK,21CVSF06,ASUFT-2015-11,na,1/29/2015,3/13/2021,na,not_sent,na,na,"BL Fluker, T Klotz, A Worm, N Stephens",ASUMZ,na,C_ven_1157,na,na
TL10,C_venusta,stigmatura,Stigmatura,Mobile,na,na,tissue,32.47737,-85.69549,Uphapee_creek,Tallapoosa,"Uphapee Creek, at Hwy 81 bridge",Macon,AL,21CVTL10,AUFT_31,na,6/29/2012,5/13/2021,na,not_sent,na,na,"J.W. Armbruster, C.K. Ray, M.M. Hayes, Hamalosmanoglu",AUM,na,C_ven_1161,2021_002,na
TL11,C_venusta,stigmatura,Stigmatura,Mobile,na,na,tissue,32.47737,-85.69549,Uphapee_creek,Tallapoosa,"Uphapee Creek, at Hwy 81 bridge",Macon,AL,21CVTL11,AUFT_52,na,6/29/2012,5/13/2021,na,not_sent,na,na,"J.W. Armbruster, C.K. Ray, M.M. Hayes, Hamalosmanoglu",AUM,na,C_ven_1162,2021_002,na
TL12,C_venusta,stigmatura,Stigmatura,Mobile,na,na,tissue,32.47737,-85.69549,Uphapee_creek,Tallapoosa,"Uphapee Creek, at Hwy 81 bridge",Macon,AL,21CVTL12,AUFT_53,na,6/29/2012,5/13/2021,na,not_sent,na,na,"J.W. Armbruster, C.K. Ray, M.M. Hayes, Hamalosmanoglu",AUM,na,C_ven_1163,2021_002,na
TL13,C_venusta,stigmatura,Stigmatura,Mobile,na,na,tissue,32.47737,-85.69549,Uphapee_creek,Tallapoosa,"Uphapee Creek, at Hwy 81 bridge",Macon,AL,21CVTL13,AUFT_54,na,6/29/2012,5/13/2021,na,not_sent,na,na,"J.W. Armbruster, C.K. Ray, M.M. Hayes, Hamalosmanoglu",AUM,na,C_ven_1164,2021_002,na
TL14,C_venusta,stigmatura,Stigmatura,Mobile,na,na,tissue,32.47737,-85.69549,Uphapee_creek,Tallapoosa,"Uphapee Creek, at Hwy 81 bridge",Macon,AL,21CVTL14,AUFT_55,na,6/29/2012,5/13/2021,na,not_sent,na,na,"J.W. Armbruster, C.K. Ray, M.M. Hayes, Hamalosmanoglu",AUM,na,C_ven_1165,2021_002,na
LC02,C_venusta,cercostigma,Eastern_Gulf,Apalachicola,na,na,tissue,31.18962,-85.11876,Cedar_creek,Chattahoochee,"Cedar creek, at highway 95 crossing",Houston,AL,21CVLC02,AUFT_1162,DCW_13_37,6/5/2013,5/14/2021,na,not_sent,na,na,"D.C. Werneke, M.M. Hayes",AUM,na,C_ven_1171,2021_002,na
LC03,C_venusta,cercostigma,Eastern_Gulf,Apalachicola,na,na,tissue,31.18962,-85.11876,Cedar_creek,Chattahoochee,"Cedar creek, at highway 95 crossing",Houston,AL,21CVLC03,AUFT_1163,DCW_13_37,6/5/2013,5/14/2021,na,not_sent,na,na,"D.C. Werneke, M.M. Hayes",AUM,na,C_ven_1172,2021_002,na
LC04,C_venusta,cercostigma,Eastern_Gulf,Apalachicola,na,na,tissue,31.18962,-85.11876,Cedar_creek,Chattahoochee,"Cedar creek, at highway 95 crossing",Houston,AL,21CVLC04,AUFT_1170,DCW_13_37,6/5/2013,5/14/2021,na,not_sent,na,na,"D.C. Werneke, M.M. Hayes",AUM,na,C_ven_1173,2021_002,na
FO01,C_venusta,venusta,Western_Gulf,West_tx,na,na,tissue,29.4998,-99.7108,Frio_River,Frio,Frio River at Concan,Uvalde,TX,21CVFO01,TNHC-FT_2899,TNHC#69396,7/27/2012,5/14/2021,na,not_sent,na,na,"Sewell, Erin; Moring, Bruce",TNHC,na,C_ven_1192,2021-04,na
